Process area,Level 1 Process,Module,Sub Process
P2P,Procurement,MM,Tax Management
P2P,IWM,EAM,Engineering
P2P,IWM,SD,Scrap Mgt
P2P,Finance,MM,Accounts Payable
P2P,IWM,MM,Indirect Procurement
P2P,EAM,EAM,Equipment Mgt
P2P,IWM,MM,Scrap Mgt
P2P,EAM,EAM,Asset Mgt
P2P,Delivery Management,SD,Shipping
P2P,Finance,SD,Customer Billing
P2P,Procurement,SRM,Indirect Procurement
P2P,IWM,WM,Rotable Mgt
P2P,Delivery Management,SD,Rotable Mgt
P2P,Delivery Management,MM,Transportation Mgt
P2P,IWM,WM,Warehouse Mgt
P2P,Delivery Management,LE,Shipping
P2P,Procurement,MM,Vendor Mgt
P2P,Procurement,SRM,PO Processing
P2P,Finance,PS,Project System
P2P,IWM,Misc,Material Master
P2P,Procurement,MM,MRP
P2P,Procurement,MM,Sourcing
P2P,Delivery Management,MM,Outbound Delivery Mgt
P2P,Procurement,SRM,Contract Mgt
P2P,Finance,MM,Vendor Invoicing
R2R,Capital Project Accouting,PS,
R2R,Vendor Invoicing,AP,
R2R,General Accounting,GL,
R2R,Vendor Invoicing,MM,
R2R,Collections & Dispute Management,AR,
R2R,Customer Invoicing & AR (MBIL),SD,Customer invoicing 
R2R,Fixed Asset & Project Accounting,PS,Capital Project Accounting
R2R,General Accounting Consolidation & Reporting,GL,General Accounting
R2R,Customer Invoicing & AR (MBIL),AR,Accounts Receivable & Incoming Payments
R2R,Vendor Invoicing & AP,AP,Vendor Invoicing
R2R,Misc,SD,SD
R2R,Fixed Asset & Project Accounting,PS,Capital Planning & Project Approval
R2R,General Accounting Consolidation & Reporting,CO,Cost Accounting & Control
R2R,Fixed Asset & Project Accounting,PS,Project Accounting for Environmental Remediation
R2R,Manage Taxes,TAX,Vendor Invoicing
R2R,Vendor Invoicing & AP,AP,Vendor Maintenance
R2R,Manage Taxes,TAX,1099 Tax Withholding/Reporting
